phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,timeOfTest,condition
practice,NA,1,apple_1,skip,NaN,12813,blank,,3/6/2015,15:12,set4
practice,NA,2,apple_2,skip,NaN,4114,blank,,3/6/2015,15:12,set4
practice,NA,3,apple_3,skip,NaN,3110,blank,,3/6/2015,15:12,set4
practice,NA,4,apple_1,skip,NaN,11865,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,5,BI2A00001,YES,NaN,11588,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,6,BI2A00039,maybe NO,-0.5,41065,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,7,BI2A00048,maybe YES,0.5,34409,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,8,BI2A00029,maybe NO,-0.5,18231,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,9,BI2A00023,skip,NaN,22794,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,10,BI2A00021,NO,NaN,15953,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,11,BI2A00024,definitely YES,2.5,23170,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,12,BI2A00011,definitely YES,2.5,7751,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,13,BI2A00009,maybe YES,0.5,12075,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,14,BI2A00022,maybe YES,0.5,42225,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,15,BI2A00042,skip,NaN,21574,blank,,3/6/2015,15:12,set4
study,do you think this one is an animal?,16,BI2A00012,skip,NaN,9107,blank,,3/6/2015,15:12,set4
