phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,timeOfTest,condition
practice,NA,1,apple_1,skip,NaN,19075,p10,,3/5/2015,15:0,set3
practice,NA,2,apple_2,skip,NaN,3398,p10,,3/5/2015,15:0,set3
practice,NA,3,apple_3,skip,NaN,20107,p10,,3/5/2015,15:0,set3
practice,NA,4,apple_1,skip,NaN,9592,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,5,BI2A00005,definitely YES,2.5,17821,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,6,BI2A00019,definitely YES,2.5,12970,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,7,BI2A00027,definitely NO,-2.5,19251,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,8,BI2A00035,definitely NO,-2.5,5438,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,9,BI2A00036,definitely NO,-2.5,24439,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,10,BI2A00026,maybe NO,-0.5,31973,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,11,BI2A00044,definitely NO,-2.5,3801,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,12,BI2A00010,probably YES,1.5,10225,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,13,BI2A00018,definitely NO,-2.5,10680,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,14,BI2A00017,definitely NO,-2.5,6129,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,15,BI2A00025,definitely NO,-2.5,5450,p10,,3/5/2015,15:0,set3
study,do you think this one is an animal?,16,BI2A00007,definitely YES,2.5,5318,p10,,3/5/2015,15:0,set3
bonus,Do you think this one can think?,17,BI2A00018,probably NO,-1.5,27021,p10,,3/5/2015,15:0,set3
bonus,Do you think this one has feelings?,18,BI2A00044,definitely NO,-2.5,19611,p10,,3/5/2015,15:0,set3
bonus,Do you think this can feel happy?,19,BI2A00007,probably YES,1.5,17309,p10,,3/5/2015,15:0,set3
bonus,Do you think this one can feel pain?,20,BI2A00005,definitely YES,2.5,20302,p10,,3/5/2015,15:0,set3
bonus,Do you think this one can sense things nearby?,21,BI2A00017,probably NO,-1.5,12303,p10,,3/5/2015,15:0,set3
bonus,Do you think this one can feel hungry?,22,BI2A00035,definitely NO,-2.5,10169,p10,,3/5/2015,15:0,set3
