"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"1","practice",NA,1,"apple_1","skip",NA,12813,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"2","practice",NA,2,"apple_2","skip",NA,4114,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"3","practice",NA,3,"apple_3","skip",NA,3110,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"4","practice",NA,4,"apple_1","skip",NA,11865,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"5","study","do you think this one is an animal?",5,"BI2A00001","YES",NA,11588,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"6","study","do you think this one is an animal?",6,"BI2A00039","maybe NO",-0.5,41065,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"7","study","do you think this one is an animal?",7,"BI2A00048","maybe YES",0.5,34409,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"8","study","do you think this one is an animal?",8,"BI2A00029","maybe NO",-0.5,18231,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"9","study","do you think this one is an animal?",9,"BI2A00023","skip",NA,22794,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"10","study","do you think this one is an animal?",10,"BI2A00021","NO",NA,15953,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"11","study","do you think this one is an animal?",11,"BI2A00024","definitely YES",2.5,23170,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"12","study","do you think this one is an animal?",12,"BI2A00011","definitely YES",2.5,7751,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"13","study","do you think this one is an animal?",13,"BI2A00009","maybe YES",0.5,12075,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"14","study","do you think this one is an animal?",14,"BI2A00022","maybe YES",0.5,42225,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"15","study","do you think this one is an animal?",15,"BI2A00042","skip",NA,21574,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"16","study","do you think this one is an animal?",16,"BI2A00012","skip",NA,9107,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT - drop",NA
"17","practice",NA,-3,"apple_1","skip",NA,792,"test",NA,"11:51","set1",NA,NA,NA,"too young - drop",NA
"18","practice",NA,-2,"apple_2","skip",NA,5031,"test",NA,"11:51","set1",NA,NA,NA,"too young - drop",NA
"19","practice",NA,-1,"apple_3","skip",NA,2842,"test",NA,"11:51","set1",NA,NA,NA,"too young - drop",NA
"20","practice",NA,0,"apple_1","skip",NA,622,"test",NA,"11:51","set1",NA,NA,NA,"too young - drop",NA
"21","study","Do you think this one is an animal?",1,"BI2A00003","skip",NA,9606,"test",NA,"11:51","set1",NA,NA,NA,"too young - drop",NA
"22","study","Do you think this one is an animal?",2,"BI2A00014","skip",NA,10562,"test",NA,"11:51","set1",NA,NA,NA,"too young - drop",NA
"23","practice",NA,-3,"apple_1","skip",NA,13621,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"24","practice",NA,-2,"apple_2","skip",NA,2822,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"25","practice",NA,-1,"apple_3","skip",NA,2609,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"26","practice",NA,0,"apple_1","skip",NA,11441,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"27","study","Do you think this one is an animal?",1,"BI2A00045","definitely NO",-1.5,16425,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"28","study","Do you think this one is an animal?",2,"BI2A00004","maybe YES",0.5,14951,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"29","study","Do you think this one is an animal?",3,"BI2A00032","definitely NO",-1.5,12966,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"30","study","Do you think this one is an animal?",4,"BI2A00041","maybe NO",-0.5,11479,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"31","study","Do you think this one is an animal?",5,"BI2A00002","definitely YES",1.5,8954,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"32","study","Do you think this one is an animal?",6,"BI2A00038","maybe NO",-0.5,15333,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"33","study","Do you think this one is an animal?",7,"BI2A00006","definitely YES",1.5,21458,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"34","study","Do you think this one is an animal?",8,"BI2A00016","maybe YES",0.5,9503,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"35","study","Do you think this one is an animal?",9,"BI2A00034","definitely NO",-1.5,10350,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
