"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"1","practice",NA,1,"apple_1","skip",NA,12813,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"2","practice",NA,2,"apple_2","skip",NA,4114,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"3","practice",NA,3,"apple_3","skip",NA,3110,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"4","practice",NA,4,"apple_1","skip",NA,11865,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"5","study","do you think this one is an animal?",5,"BI2A00001","YES",NA,11588,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"6","study","do you think this one is an animal?",6,"BI2A00039","maybe NO",-0.5,41065,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"7","study","do you think this one is an animal?",7,"BI2A00048","maybe YES",0.5,34409,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"8","study","do you think this one is an animal?",8,"BI2A00029","maybe NO",-0.5,18231,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"9","study","do you think this one is an animal?",9,"BI2A00023","skip",NA,22794,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"10","study","do you think this one is an animal?",10,"BI2A00021","NO",NA,15953,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"11","study","do you think this one is an animal?",11,"BI2A00024","definitely YES",2.5,23170,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"12","study","do you think this one is an animal?",12,"BI2A00011","definitely YES",2.5,7751,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"13","study","do you think this one is an animal?",13,"BI2A00009","maybe YES",0.5,12075,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"14","study","do you think this one is an animal?",14,"BI2A00022","maybe YES",0.5,42225,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"15","study","do you think this one is an animal?",15,"BI2A00042","skip",NA,21574,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"16","study","do you think this one is an animal?",16,"BI2A00012","skip",NA,9107,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"17","study","do you think this one is an animal?",1,"BI2A00014","probably NO",-1.5,25416,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"18","study","do you think this one is an animal?",2,"BI2A00046","maybe NO",-0.5,16723,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"19","study","do you think this one is an animal?",3,"BI2A00003","definitely YES",2.5,14635,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"20","study","do you think this one is an animal?",4,"BI2A00020","maybe YES",0.5,19117,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"21","study","do you think this one is an animal?",5,"BI2A00008","maybe YES",0.5,20500,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"22","study","do you think this one is an animal?",6,"BI2A00030","definitely NO",-2.5,10484,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"23","study","do you think this one is an animal?",7,"BI2A00043","definitely NO",-2.5,9153,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"24","study","do you think this one is an animal?",8,"BI2A00047","maybe NO",-0.5,10344,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"25","study","do you think this one is an animal?",9,"BI2A00028","probably YES",1.5,12612,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"26","study","do you think this one is an animal?",10,"BI2A00033","definitely NO",-2.5,18666,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"27","study","do you think this one is an animal?",11,"BI2A00031","definitely NO",-2.5,8887,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"28","study","do you think this one is an animal?",12,"BI2A00015","maybe YES",0.5,11994,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"29","study","do you think this one is an animal?",1,"BI2A00015","n",NA,14314,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"30","study","do you think this one is an animal?",2,"BI2A00008","y",NA,5331,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"31","study","do you think this one is an animal?",3,"BI2A00014","y",NA,4317,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"32","study","do you think this one is an animal?",4,"BI2A00033","n",NA,11763,"p02",3.082191781,NA,"set1","male","always","sand",NA,3y 0m 29d 6H 0M 0S
"33","study","do you think this one is an animal?",5,"BI2A00031","n",NA,20431,"p02",3.082191781,NA,"set1","male","always","black thing carpet",NA,3y 0m 29d 6H 0M 0S
"34","study","do you think this one is an animal?",6,"BI2A00030","n",NA,13259,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"35","study","do you think this one is an animal?",7,"BI2A00047","n",NA,6137,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"36","study","do you think this one is an animal?",8,"BI2A00046","n",NA,5069,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"37","study","do you think this one is an animal?",9,"BI2A00020","n",NA,7038,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"38","study","do you think this one is an animal?",10,"BI2A00003","y",NA,5266,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"39","study","do you think this one is an animal?",11,"BI2A00043","y",NA,24703,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"40","study","do you think this one is an animal?",12,"BI2A00028","n",NA,6251,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"41","bonus","do you think this can feel happy?",13,"BI2A00043","n",NA,12049,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"42","bonus","do you think this one has feelings",14,"BI2A00008","y",NA,6863,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"43","bonus","do you think this one can think?",15,"BI2A00031","n",NA,6581,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"44","bonus","do you think this one can sense things nearby",16,"BI2A00046","n",NA,7873,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
